INFO 2025-03-15 17:28:01,078 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-15 17:28:01,079 autoreload Waiting for apps ready_event.
DEBUG 2025-03-15 17:28:01,163 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/ahdus_task/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,184 autoreload Watching dir /home/ali-akbar/softwares/ahdus_task/user/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,185 autoreload Watching dir /home/ali-akbar/softwares/ahdus_task/project/locale with glob **/*.mo.
DEBUG 2025-03-15 17:28:01,258 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-15 17:28:01,262 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-15 17:28:01,339 autoreload File /usr/lib/python3.12/__future__.py first seen with mtime 1738680515.0
DEBUG 2025-03-15 17:28:01,339 autoreload File /usr/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so first seen with mtime 1738680515.0
DEBUG 2025-03-15 17:28:01,339 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/django/db/models/functions/window.py first seen with mtime 1741805138.4914443
DEBUG 2025-03-15 17:28:01,339 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/yaml/_yaml.cpython-312-x86_64-linux-gnu.so first seen with mtime 1741624939.8345268
DEBUG 2025-03-15 17:28:01,340 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1741805138.4254422
DEBUG 2025-03-15 17:28:01,340 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1741805138.480444
DEBUG 2025-03-15 17:28:01,340 autoreload File /usr/lib/python3.12/xml/dom/__init__.py first seen with mtime 1738680515.0
DEBUG 2025-03-15 17:28:01,340 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/psycopg2/errors.py first seen with mtime 1741624941.3025367
DEBUG 2025-03-15 17:28:01,340 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1741805214.07371
DEBUG 2025-03-15 17:28:01,341 autoreload File /usr/lib/python3.12/gzip.py first seen with mtime 1738680515.0
DEBUG 2025-03-15 17:28:01,341 autoreload File /home/ali-akbar/softwares/fast/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1741805138.4364426
